CÓDIGO OACI;CIAD;NOME;MUNICÍPIO;UF;MUNICÍPIO SERVIDO;UF SERVIDO;LatGeoPoint;LonGeoPoint;LATITUDE;LONGITUDE;ALTITUDE;OPERAÇÃO DIURNA;OPERAÇÃO NOTURNA;DESIGNAÇÃO 1;COMPRIMENTO 1;LARGURA 1;RESISTÊNCIA 1;SUPERFÍCIE 1;DESIGNAÇÃO 2;COMPRIMENTO2;LARGURA 2;RESISTÊNCIA 2;SUPERFÍCIE 2;SITUAÇÃO;ValidadedoRegistro;PortariadeRegistro;Link Portaria
SBEK;PA0011;Jacareacanga;JACAREACANGA;Pará;Jacareacanga;Pará;-6.2352778;-57.775833;"06°14'07.0S""";"057°46'33.0W""";90;;;ago/26;16,000,000;30,00;5700 Kg /   0.50 MPa;Asfalto;;;;;;Cadastrado;23/09/2030;PA2020-2419;https://pergamum.anac.gov.br/arquivos/PA2020-2419.pdf
SSVL;PR0007;Telêmaco Borba;TELÊMACO BORBA;Paraná;Telêmaco Borba;Paraná;-24.316389;-50.652222;"24°18'59.0S""";"050°39'08.0W""";796;VFR;Sem Operação;fev/20;18,000,000;30,00;24/F/B/X/T;Asfalto;;;;;;Cadastrado;12/12/2029;PA2019-3818;https://pergamum.anac.gov.br/arquivos/PA2019-3818.pdf
SSVN;RS0030;Veranópolis;VERANÓPOLIS;Rio Grande do Sul;Veranópolis;Rio Grande do Sul;-28.935556;-51.567778;"28°56'08.0S""";"051°34'04.0W""";676;VFR;Sem Operação;dez/30;10,000,000;18,00;3700 Kg /   0.50 MPa;Saibro;;;;;;Cadastrado;14/09/2028;PA2018-2841;https://pergamum.anac.gov.br/arquivos/PA2018-2841.pdf
SSNB;MS0015;Ariosto da Riva;NAVIRAÍ;Mato Grosso do Sul;Naviraí;Mato Grosso do Sul;-23.041389;-54.185;"23°02'29.0S""";"054°11'06.0W""";405;VFR;Sem Operação;set/27;12,000,000;23,00;10/F/B/Y/T;Asfalto;;;;;;Cadastrado;;PD1997-0377;https://pergamum.anac.gov.br/arquivos/PD1997-0377.pdf
SNPQ;PE0010;Pesqueira;PESQUEIRA;Pernambuco;Pesqueira;Pernambuco;-8.3741667;-36.637778;"08°22'27.0S""";"036°38'16.0W""";630;VFR;Sem Operação;out/28;10,000,000;20,00;8/F/C/Y/U;Terra;;;;;;Interditado;17/04/2027;PA2017-1243;https://pergamum.anac.gov.br/arquivos/PA2017-1243.pdf
SBTC;BA0067;Hotel Transamérica;UNA;Bahia;;;-15.353333;-38.997222;"15°21'12.0S""";"038°59'50.0W""";7;VFR / IFR Não Precisão;VFR / IFR Não Precisão;fev/20;20,000,000;30,00;40/F/C/X/T;Asfalto;;;;;;Cadastrado;23/03/2031;PA2021-4874;https://pergamum.anac.gov.br/arquivos/PA2021-4874.pdf
SBNV;GO0002;Aeródromo Nacional de Aviação;GOIÂNIA;Goiás;Goiânia;Goiás;-16.625556;-49.349444;"16°37'32.0S""";"049°20'58.0W""";831;VFR;Sem Operação;14/32;11,000,000;20,00;5700 Kg /   0.50 MPa;Asfalto;;;;;;Cadastrado;21/02/2029;PA2019-0537;https://pergamum.anac.gov.br/arquivos/PA2019-0537.pdf
SDTB;SP0069;Atibaia;ATIBAIA;São Paulo;Atibaia;São Paulo;-23.128333;-46.574722;"23°07'42.0S""";"046°34'29.0W""";797;VFR;;fev/20;8,000,000;30,00;5000 Kg /   0.50 MPa;Terra;;;;;;Cadastrado;13/05/2024;PA2014-1106;https://pergamum.anac.gov.br/arquivos/PA2014-1106.pdf
SBSM;RS0003;Santa Maria;SANTA MARIA;Rio Grande do Sul;Santa Maria;Rio Grande do Sul;-29.710833;-53.692222;"29°42'39.0S""";"053°41'32.0W""";88;;;nov/29;27,000,000;45,00;20/R/B/X/T;Concreto;fev/20;14,000,000;30,00;10/F/C/Y/U;Asfalto;Cadastrado;;PD1981-0204;https://pergamum.anac.gov.br/arquivos/PD1981-0204.pdf
SDAE;SP0053;São Pedro;SÃO PEDRO;São Paulo;São Pedro;São Paulo;-22.583611;-47.896111;"22°35'01.0S""";"047°53'46.0W""";566;VFR;Sem Operação;14/32;10,000,000;25,00;5600 Kg /   0.50 MPa;Terra;;;;;;Cadastrado;17/04/2030;PA2020-1021;https://pergamum.anac.gov.br/arquivos/PA2020-1021.pdf
SSNP;RS0041;Nova Prata;NOVA PRATA;Rio Grande do Sul;Nova Prata;Rio Grande do Sul;-28.8025;-51.604167;"28°48'09.0S""";"051°36'15.0W""";690;VFR;Sem Operação;13/31;10,000,000;30,00;5/F/B/Y/U;Terra;;;;;;Cadastrado;;PD1985-0068COMAR;https://pergamum.anac.gov.br/arquivos/PD1985-0068COMAR.pdf
SWPG;MT0010;Porto dos Gaúchos;NOVO HORIZONTE DO NORTE;Mato Grosso;Porto dos Gaúchos;Mato Grosso;-11.516944;-57.333889;"11°31'01.0S""";"057°20'02.0W""";400;VFR;Sem Operação;jan/19;15,000,000;60,00;13/F/C/Y/U;Terra;;;;;;Interditado;;;
SNIU;BA0030;Ipiaú;IPIAÚ;Bahia;Ipiaú;Bahia;-14.173333;-39.684167;"14°10'24.0S""";"039°41'03.0W""";132;VFR;;15/33;13,000,000;20,00;6/F/C/Z/U;Asfalto;;;;;;Cadastrado;08/10/2024;PA2014-2365;https://pergamum.anac.gov.br/arquivos/PA2014-2365.pdf
SDLK;BA0040;Caculé;CACULÉ;Bahia;Caculé;Bahia;-14.481111;-42.264722;"14°28'52.0S""";"042°15'53.0W""";662;VFR;Sem Operação;13/31;12,000,000;20,00;8/F/B/Y/U;Asfalto;;;;;;Cadastrado;05/02/2026;PA2016-0240;https://pergamum.anac.gov.br/arquivos/PA2016-0240.pdf
SBCH;SC0003;Serafin Enoss Bertaso;CHAPECÓ;Santa Catarina;Chapecó;Santa Catarina;-27.133889;-52.661944;"27°08'02.0S""";"052°39'43.0W""";654;VFR / IFR Não Precisão;VFR / IFR Não Precisão;nov/29;20,630,000;45,00;45/F/B/X/T;Asfalto;;;;;;Cadastrado;;PA2012-1357;https://pergamum.anac.gov.br/arquivos/PA2012-1357.pdf
SDAG;RJ0010;Angra Dos Reis;ANGRA DOS REIS;Rio de Janeiro;Angra dos Reis;Rio de Janeiro;-22.975278;-44.307222;"22°58'31.0S""";"044°18'26.0W""";3;VFR;Sem Operação;out/28;9,130,000;30,00;14/F/B/Y/T;Asfalto;;;;;;Cadastrado;14/09/2028;PA2018-2842;https://pergamum.anac.gov.br/arquivos/PA2018-2842.pdf
SBMO;AL0001;Zumbi dos Palmares;MACEIÓ;Alagoas;Maceió;Alagoas;-9.5172222;-35.783611;"09°31'02.0S""";"035°47'01.0W""";118;VFR / IFR - CAT I;VFR / IFR - CAT I;dez/30;26,020,000;45,00;46/F/A/X/T;Asfalto;;;;;;Cadastrado;;PD2006-0362;https://pergamum.anac.gov.br/arquivos/PD2006-0362.pdf
SNMA;PA0019;Monte Alegre;MONTE ALEGRE;Pará;Monte Alegre;Pará;-1.9966667;-54.071389;"01°59'48.0S""";"054°04'17.0W""";99;;;out/28;14,250,000;30,00;9/F/C/Y/U;Asfalto;;;;;;Cadastrado;13/01/2031;PA2021-3949;https://pergamum.anac.gov.br/arquivos/PA2021-3949.pdf
SNKK;RN0005;Caicó;CAICÓ;Rio Grande do Norte;Caicó;Rio Grande do Norte;-6.4391667;-37.078056;"06°26'21.0S""";"037°04'41.0W""";182;VFR;;14/32;9,800,000;30,00;12/F/B/Y/U;Asfalto;;;;;;Cadastrado;24/09/2025;PA2015-2499;https://pergamum.anac.gov.br/arquivos/PA2015-2499.pdf
