CÓDIGO OACI;CIAD;NOME;MUNICÍPIO;UF;MUNICÍPIO SERVIDO;UF SERVIDO;LatGeoPoint;LonGeoPoint;LATITUDE;LONGITUDE;ALTITUDE;OPERAÇÃO DIURNA;OPERAÇÃO NOTURNA;DESIGNAÇÃO 1;COMPRIMENTO 1;LARGURA 1;RESISTÊNCIA 1;SUPERFÍCIE 1;DESIGNAÇÃO 2;COMPRIMENTO2;LARGURA 2;RESISTÊNCIA 2;SUPERFÍCIE 2;SITUAÇÃO;ValidadedoRegistro;PortariadeRegistro;Link Portaria
SWGN;TO0002;Araguaína;ARAGUAÍNA;Tocantins;Araguaína;Tocantins;-7.2283333;-48.240833;"07°13'42.0S""";"048°14'27.0W""";235;VFR;VFR;set/27;18,040,000;45,00;44/F/C/X/U;Asfalto;;;;;;Cadastrado;21/08/2025;PA2015-2236;https://pergamum.anac.gov.br/arquivos/PA2015-2236.pdf
SNCP;SC0181;Aeroporto Regional do Planalto Serrano;CORREIA PINTO;Santa Catarina;Lages;Santa Catarina;-27.634167;-50.358333;"27°38'03.0S""";"050°21'30.0W""";880;VFR / IFR Não Precisão;IFR Não Precisão;set/27;18,020,000;30,00;57/F/B/X/T;Asfalto;;;;;;Cadastrado;05/02/2030;PA2020-0315;https://pergamum.anac.gov.br/arquivos/PA2020-0315.pdf
SSOE;SC0015;Hélio Wasum;DESCANSO;Santa Catarina;São Miguel do Oeste;Santa Catarina;-26.781111;-53.503333;"26°46'52.0S""";"053°30'12.0W""";665;VFR;VFR;17/35;12,600,000;18,00;11/F/A/Y/T;Asfalto;;;;;;Cadastrado;19/05/2030;PA2020-1292;https://pergamum.anac.gov.br/arquivos/PA2020-1292.pdf
SBPL;PE0002;Senador Nilo Coelho;PETROLINA;Pernambuco;Petrolina;Pernambuco;-9.3675;-40.563611;"09°22'03.0S""";"040°33'49.0W""";384;VFR / IFR Não Precisão;VFR / IFR Não Precisão;13/31;32,500,000;45,00;80/F/C/X/T;Asfalto;;;;;;Cadastrado;05/10/2021;PA2011-1907;https://pergamum.anac.gov.br/arquivos/PA2011-1907.pdf
SDZG;CE0008;Pedro Teixeira Castelo Regional Tauá;TAUÁ;Ceará;Tauá;Ceará;-5.9333333;-40.2975;"05°56'00.0S""";"040°17'51.0W""";444;VFR;VFR;set/27;12,000,000;30,00;7/F/C/Y/U;Asfalto;;;;;;Cadastrado;07/05/2030;PA2020-1189;https://pergamum.anac.gov.br/arquivos/PA2020-1189.pdf
SDIM;SP0033;Dr. Antonio Ribeiro Nogueira Júnior;ITANHAÉM;São Paulo;Itanhaém;São Paulo;-24.164722;-46.785556;"24°09'53.0S""";"046°47'08.0W""";3;VFR;VFR;15/33;13,500,000;30,00;31/F/C/X/T;Asfalto;;;;;;Cadastrado;23/09/2030;PA2020-2423;https://pergamum.anac.gov.br/arquivos/PA2020-2423.pdf
SBJE;CE0003;Comandante Ariston Pessoa;CRUZ;Ceará;Cruz;Ceará;-2.9066667;-40.358056;"02°54'24.0S""";"040°21'29.0W""";27;VFR / IFR Não Precisão;VFR / IFR Não Precisão;ago/26;22,000,000;45,00;62/F/B/W/T;Asfalto;;;;;;Cadastrado;03/03/2026;PA2017-3750;https://pergamum.anac.gov.br/arquivos/PA2017-3750.pdf
SBBH;MG0003;Pampulha - Carlos Drummond de Andrade;BELO HORIZONTE;Minas Gerais;Belo Horizonte;Minas Gerais;-19.851944;-43.950556;"19°51'07.0S""";"043°57'02.0W""";789;VFR / IFR Não Precisão;VFR / IFR Não Precisão;13/31;23,640,000;45,00;44/F/B/X/T;Asfalto;;;;;;Cadastrado;18/04/2027;PA2017-1295;https://pergamum.anac.gov.br/arquivos/PA2017-1295.pdf
SNDV;MG0015;Brigadeiro Antônio Cabral;DIVINÓPOLIS;Minas Gerais;Divinópolis;Minas Gerais;-20.181944;-44.87;"20°10'55.0S""";"044°52'12.0W""";795;VFR;VFR;17/35;15,400,000;30,00;20/F/B/X/T;Asfalto;;;;;;Cadastrado;07/01/2026;PA2016-0019;https://pergamum.anac.gov.br/arquivos/PA2016-0019.pdf
SBVG;MG0019;Major Brigadeiro Trompowsky;VARGINHA;Minas Gerais;Varginha;Minas Gerais;-21.588889;-45.473333;"21°35'20.0S""";"045°28'24.0W""";922;VFR / IFR Não Precisão;IFR Não Precisão;abr/22;21,000,000;30,00;26/F/A/Y/T;Asfalto;;;;;;Cadastrado;05/12/2027;PA2017-3825;https://pergamum.anac.gov.br/arquivos/PA2017-3825.pdf
SBGV;MG0032;Coronel Altino Machado;GOVERNADOR VALADARES;Minas Gerais;Governador Valadares;Minas Gerais;-18.896944;-41.986111;"18°53'49.0S""";"041°59'10.0W""";171;VFR / IFR Não Precisão;VFR / IFR Não Precisão;jul/25;17,010,000;30,00;31/F/B/X/T;Asfalto;;;;;;Cadastrado;16/04/2025;PA2015-0908;https://pergamum.anac.gov.br/arquivos/PA2015-0908.pdf
SBCY;MT0001;Marechal Rondon;VÁRZEA GRANDE;Mato Grosso;Cuiabá;Mato Grosso;-15.65;-56.1175;"15°39'00.0S""";"056°07'03.0W""";188;VFR / IFR - CAT I;VFR / IFR - CAT I;17/35;23,000,000;45,00;46/F/B/X/U;Asfalto;;;;;;Cadastrado;23/08/2028;PA2018-2575;https://pergamum.anac.gov.br/arquivos/PA2018-2575.pdf
SBSI;MT0002;Presidente João Batista Figueiredo;SINOP;Mato Grosso;Sinop;Mato Grosso;-11.885;-55.586111;"11°53'06.0S""";"055°35'10.0W""";374;;;mar/21;16,300,000;30,00;36/F/A/X/T;Asfalto;;;;;;Cadastrado;06/04/2026;PA2018-2965;https://pergamum.anac.gov.br/arquivos/PA2018-2965.pdf
SBMA;PA0004;João Corrêa da Rocha;MARABÁ;Pará;Marabá;Pará;-5.3680556;-49.138056;"05°22'05.0S""";"049°08'17.0W""";109;VFR / IFR Não Precisão;VFR / IFR Não Precisão;jul/25;20,000,000;45,00;40/F/C/X/U;Asfalto;;;;;;Cadastrado;17/04/2028;PA2018-1179;https://pergamum.anac.gov.br/arquivos/PA2018-1179.pdf
SBLO;PR0003;Governador José Richa;LONDRINA;Paraná;Londrina;Paraná;-23.330278;-51.136667;"23°19'49.0S""";"051°08'12.0W""";569;;;13/31;21,000,000;45,00;43/F/B/X/T;Asfalto;;;;;;Cadastrado;25/05/2028;PA2018-1601;https://pergamum.anac.gov.br/arquivos/PA2018-1601.pdf
SSFB;PR0021;Paulo Abdala;FRANCISCO BELTRÃO;Paraná;Francisco Beltrão;Paraná;-26.058889;-53.063333;"26°03'32.0S""";"053°03'48.0W""";640;VFR;VFR;jul/25;13,400,000;30,00;11/F/C/Y/U;Asfalto;;;;;;Cadastrado;02/08/2028;PA2018-2357;https://pergamum.anac.gov.br/arquivos/PA2018-2357.pdf
SBRJ;RJ0002;Santos Dumont;RIO DE JANEIRO;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;-22.91;-43.1625;"22°54'36.0S""";"043°09'45.0W""";3;VFR / IFR Não Precisão;VFR / IFR Não Precisão;02L/20R;12,600,000;30,00;39/F/B/X/T;Asfalto;02R/20L;13,230,000;42,00;65/F/B/X/T;Asfalto;Cadastrado;11/07/2024;PA2014-1562;https://pergamum.anac.gov.br/arquivos/PA2014-1562.pdf
SBCB;RJ0003;Cabo Frio;CABO FRIO;Rio de Janeiro;Cabo Frio;Rio de Janeiro;-22.920833;-42.071389;"22°55'15.0S""";"042°04'17.0W""";7;VFR / IFR Não Precisão;VFR / IFR Não Precisão;out/28;25,500,000;45,00;76/F/C/X/T;Asfalto;;;;;;Cadastrado;17/07/2029;PA2019-2127;https://pergamum.anac.gov.br/arquivos/PA2019-2127.pdf
SBJA;SC0005;Regional Sul;JAGUARUNA;Santa Catarina;Jaguaruna;Santa Catarina;-28.675278;-49.060278;"28°40'31.0S""";"049°03'37.0W""";35;VFR / IFR Não Precisão;VFR / IFR Não Precisão;mai/23;24,990,000;30,00;57/F/A/X/T;Asfalto;;;;;;Cadastrado;04/02/2025;PA2015-0252;https://pergamum.anac.gov.br/arquivos/PA2015-0252.pdf
SNKR;PI0012;Corrente;CORRENTE;Piauí;Corrente;Piauí;-10.451944;-45.136389;"10°27'07.0S""";"045°08'11.0W""";473;VFR;Sem Operação;nov/29;10,000,000;20,00;2500 Kg /   0.50 MPa;Terra;;;;;;Interditado;;;
SBSR;SP0006;Professor Eriberto Manoel Reino;SÃO JOSÉ DO RIO PRETO;São Paulo;São José do Rio Preto;São Paulo;-20.816111;-49.404722;"20°48'58.0S""";"049°24'17.0W""";544;VFR / IFR Não Precisão;VFR / IFR Não Precisão;jul/25;16,400,000;35,00;35/F/B/X/T;Asfalto;;;;;;Cadastrado;20/04/2028;PA2018-1262;https://pergamum.anac.gov.br/arquivos/PA2018-1262.pdf
SBSJ;SP0008;Professor Urbano Erenesto Stumpf;SÃO JOSÉ DOS CAMPOS;São Paulo;São José dos Campos;São Paulo;-23.228889;-45.871111;"23°13'44.0S""";"045°52'16.0W""";647;VFR / IFR - CAT I;VFR / IFR - CAT I;16/34;26,760,000;45,00;71/F/A/X/T;Asfalto;;;;;;Cadastrado;24/10/2028;PA2018-3263;https://pergamum.anac.gov.br/arquivos/PA2018-3263.pdf
SDOU;SP0023;Jornalista Benedito Pimentel;OURINHOS;São Paulo;Ourinhos;São Paulo;-22.973611;-49.911389;"22°58'25.0S""";"049°54'41.0W""";462;VFR;VFR;16/34;15,000,000;30,00;15/F/B/X/T;Asfalto;;;;;;Cadastrado;08/04/2030;PA2020-0978;https://pergamum.anac.gov.br/arquivos/PA2020-0978.pdf
SBBP;SP0036;Estadual Arthur Siqueira;BRAGANÇA PAULISTA;São Paulo;Bragança Paulista;São Paulo;-22.979167;-46.5375;"22°58'45.0S""";"046°32'15.0W""";893;VFR;VFR;16/34;12,000,000;30,00;16/F/B/X/T;Asfalto;;;;;;Cadastrado;17/12/2028;PA2018-3805;https://pergamum.anac.gov.br/arquivos/PA2018-3805.pdf
SDAI;SP0047;Americana;AMERICANA;São Paulo;Americana;São Paulo;-22.755278;-47.268056;"22°45'19.0S""";"047°16'05.0W""";611;VFR;VFR;dez/30;11,000,000;18,00;9/F/B/X/T;Asfalto;;;;;;Cadastrado;16/01/2027;PA2017-0097;https://pergamum.anac.gov.br/arquivos/PA2017-0097.pdf
SDPE;TO0003;Porto Nacional;PORTO NACIONAL;Tocantins;Porto Nacional;Tocantins;-10.716944;-48.400278;"10°43'01.0S""";"048°24'01.0W""";265;VFR;Sem Operação;mai/23;17,000,000;30,00;27/F/B/X/T;Asfalto;;;;;;Cadastrado;20/02/2029;PA2019-0535;https://pergamum.anac.gov.br/arquivos/PA2019-0535.pdf
SNPY;MG0013;São Sebastião do Paraíso;SÃO SEBASTIÃO DO PARAÍSO;Minas Gerais;São Sebastião do Paraíso;Minas Gerais;-20.948333;-46.983056;"20°56'54.0S""";"046°58'59.0W""";950;VFR;VFR;mai/23;16,000,000;30,00;8/F/C/Y/U;Asfalto;;;;;;Cadastrado;26/12/2029;PA2019-3901;https://pergamum.anac.gov.br/arquivos/PA2019-3901.pdf
SNOB;CE0013;Aeródromo Público de Sobral;SOBRAL;Ceará;Sobral;Ceará;-3.6788889;-40.336667;"03°40'44.0S""";"040°20'12.0W""";64;VFR;VFR;out/28;10,330,000;30,00;8/F/C/Y/U;Asfalto;;;;;;Cadastrado;13/04/2030;PA2020-0984;https://pergamum.anac.gov.br/arquivos/PA2020-0984.pdf
SSZR;RS0027;Luis Alberto Lehr;SANTA ROSA;Rio Grande do Sul;Santa Rosa;Rio Grande do Sul;-27.908889;-54.522222;"27°54'32.0S""";"054°31'20.0W""";309;VFR;VFR;jul/25;12,000,000;30,00;8/F/A/Y/T;Asfalto;;;;;;Cadastrado;07/05/2030;PA2020-1191;https://pergamum.anac.gov.br/arquivos/PA2020-1191.pdf
SBJF;MG0016;Francisco de Assis;JUIZ DE FORA;Minas Gerais;Juiz de Fora;Minas Gerais;-21.793056;-43.385556;"21°47'35.0S""";"043°23'08.0W""";911;VFR / IFR Não Precisão;VFR / IFR Não Precisão;mar/21;15,350,000;30,00;32/F/A/Y/T;Asfalto;;;;;;Cadastrado;31/07/2030;PA2020-1921;https://pergamum.anac.gov.br/arquivos/PA2020-1921.pdf
SNVB;BA0008;Valença;VALENÇA;Bahia;Valença;Bahia;-13.296389;-38.9925;"13°17'47.0S""";"038°59'33.0W""";5;VFR;VFR;abr/22;18,000,000;30,00;55/F/B/X/T;Asfalto;;;;;;Cadastrado;22/11/2025;PA2015-3090;https://pergamum.anac.gov.br/arquivos/PA2015-3090.pdf
SNPD;MG0010;Patos de Minas;PATOS DE MINAS;Minas Gerais;Patos de Minas;Minas Gerais;-18.672222;-46.491389;"18°40'20.0S""";"046°29'29.0W""";851;VFR;VFR;set/27;17,000,000;30,00;39/F/A/Y/T;Asfalto;;;;;;Cadastrado;15/03/2026;PA2016-0576;https://pergamum.anac.gov.br/arquivos/PA2016-0576.pdf
SSOL;MG0027;Lavras;LAVRAS;Minas Gerais;Lavras;Minas Gerais;-21.243889;-44.969444;"21°14'38.0S""";"044°58'10.0W""";959;VFR;VFR;mai/23;15,000,000;30,00;12/F/C/Y/T;Asfalto;;;;;;Cadastrado;23/11/2021;PA2011-2243;https://pergamum.anac.gov.br/arquivos/PA2011-2243.pdf
SBDO;MS0008;Dourados;DOURADOS;Mato Grosso do Sul;Dourados;Mato Grosso do Sul;-22.200556;-54.925556;"22°12'02.0S""";"054°55'32.0W""";458;VFR / IFR Não Precisão;VFR / IFR Não Precisão;jun/24;19,500,000;30,00;28/F/B/X/T;Asfalto;;;;;;Cadastrado;27/12/2023;PA2013-3397;https://pergamum.anac.gov.br/arquivos/PA2013-3397.pdf
SBCJ;PA0006;Carajás;PARAUAPEBAS;Pará;Parauapebas;Pará;-6.1152778;-50.001389;"06°06'55.0S""";"050°00'05.0W""";629;VFR / IFR - CAT I;VFR / IFR - CAT I;out/28;20,000,000;45,00;41/F/B/X/T;Asfalto;;;;;;Cadastrado;06/12/2023;PA2013-3204;https://pergamum.anac.gov.br/arquivos/PA2013-3204.pdf
SJZA;PB0004;Pedro Vieira Moreira;CAJAZEIRAS;Paraíba;Cajazeiras;Paraíba;-6.8827778;-38.615833;"06°52'58.0S""";"038°36'57.0W""";335;VFR;VFR;dez/30;16,000,000;30,00;26/F/B/X/T;Asfalto;;;;;;Cadastrado;17/11/2026;PA2016-3365;https://pergamum.anac.gov.br/arquivos/PA2016-3365.pdf
SSGG;PR0009;Tancredo Thomas de Faria;GUARAPUAVA;Paraná;Guarapuava;Paraná;-25.388333;-51.523611;"25°23'18.0S""";"051°31'25.0W""";1065;VFR / IFR Não Precisão;VFR / IFR Não Precisão;ago/26;13,650,000;30,00;23/F/C/X/T;Asfalto;;;;;;Cadastrado;20/02/2029;PA2019-3943;https://pergamum.anac.gov.br/arquivos/PA2019-3943.pdf
SBPO;PR0018;Aeroporto Juvenal Loureiro Cardoso;PATO BRANCO;Paraná;Pato Branco;Paraná;-26.217222;-52.694444;"26°13'02.0S""";"052°41'40.0W""";823;VFR / IFR Não Precisão;VFR / IFR Não Precisão;jul/25;13,170,000;30,00;50/F/A/X/T;Asfalto;;;;;;Cadastrado;05/04/2029;PA2019-0993;https://pergamum.anac.gov.br/arquivos/PA2019-0993.pdf
SSOG;PR0027;Arapongas;ARAPONGAS;Paraná;Arapongas;Paraná;-23.355833;-51.490833;"23°21'21.0S""";"051°29'27.0W""";792;VFR;VFR;16/34;12,000,000;23,00;6/F/B/Y/U;Asfalto;;;;;;Cadastrado;20/07/2027;PA2017-2398;https://pergamum.anac.gov.br/arquivos/PA2017-2398.pdf
SBJR;RJ0005;Jacarepaguá - Roberto Marinho;RIO DE JANEIRO;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;-22.9875;-43.37;"22°59'15.0S""";"043°22'12.0W""";3;;;mar/21;9,000,000;30,00;10/F/C/Y/U;Asfalto;;;;;;Cadastrado;02/06/2027;PA2017-1808;https://pergamum.anac.gov.br/arquivos/PA2017-1808.pdf
SBCP;RJ0006;Bartolomeu Lisandro;CAMPOS DOS GOYTACAZES;Rio de Janeiro;Campos dos Goytacazes;Rio de Janeiro;-21.701111;-41.307778;"21°42'04.0S""";"041°18'28.0W""";17;VFR / IFR Não Precisão;VFR / IFR Não Precisão;jul/25;15,440,000;45,00;29/F/A/X/T;Asfalto;;;;;;Cadastrado;06/09/2028;PA2018-2768;https://pergamum.anac.gov.br/arquivos/PA2018-2768.pdf
SBPK;RS0005;João Simões Lopes Neto;PELOTAS;Rio Grande do Sul;Pelotas;Rio Grande do Sul;-31.716111;-52.331111;"31°42'58.0S""";"052°19'52.0W""";18;VFR / IFR Não Precisão;VFR / IFR Não Precisão;jun/24;19,800,000;42,00;35/R/B/W/T;Concreto;15/33;12,300,000;38,00;5700 Kg /   0.62 MPa;Terra;Cadastrado;13/11/2027;PA2017-3710;https://pergamum.anac.gov.br/arquivos/PA2017-3710.pdf
SSCK;SC0010;Olavo Cecco Rigon;CONCÓRDIA;Santa Catarina;Concórdia;Santa Catarina;-27.180556;-52.051111;"27°10'50.0S""";"052°03'04.0W""";751;VFR;VFR;15/33;14,800,000;18,00;12/F/B/Y/U;Asfalto;;;;;;Cadastrado;23/10/2023;PA2013-3070;https://pergamum.anac.gov.br/arquivos/PA2013-3070.pdf
SDLP;SP0034;Municipal José Boso;LENÇÓIS PAULISTA;São Paulo;Lençóis Paulista;São Paulo;-22.578333;-48.774444;"22°34'42.0S""";"048°46'28.0W""";621;VFR;VFR;jul/25;12,640,000;20,00;13/F/C/Y/T;Asfalto;;;;;;Cadastrado;23/01/2027;PA2018-2894;https://pergamum.anac.gov.br/arquivos/PA2018-2894.pdf
SBGM;RO0006;Guajará-Mirim;GUAJARÁ-MIRIM;Rondônia;Guajará-Mirim;Rondônia;-10.788333;-65.281667;"10°47'18.0S""";"065°16'54.0W""";146;VFR;VFR;17/35;17,950,000;45,00;30/F/C/X/U;Asfalto;;;;;;Interditado;09/04/2030;PA2020-0974;https://pergamum.anac.gov.br/arquivos/PA2020-0974.pdf
SWWA;GO0012;Porangatu;PORANGATU;Goiás;Porangatu;Goiás;-13.404444;-49.157222;"13°24'16.0S""";"049°09'26.0W""";366;VFR;VFR;14/32;15,000,000;23,00;5700 Kg /   0.50 MPa;Asfalto;;;;;;Cadastrado;19/05/2030;PA2020-1293;https://pergamum.anac.gov.br/arquivos/PA2020-1293.pdf
SWKT;GO0015;Catalão;CATALÃO;Goiás;Catalão;Goiás;-18.216944;-47.899444;"18°13'01.0S""";"047°53'58.0W""";802;VFR;VFR;17/35;15,200,000;30,00;5700 Kg /   0.50 MPa;Asfalto;;;;;;Cadastrado;21/09/2030;PA2020-2421;https://pergamum.anac.gov.br/arquivos/PA2020-2421.pdf
SDRK;SP0049;Rio Claro;RIO CLARO;São Paulo;Rio Claro;São Paulo;-22.431667;-47.5625;"22°25'54.0S""";"047°33'45.0W""";600;VFR;Sem Operação;mar/21;10,470,000;40,00;5600 Kg /   0.50 MPa;Terra;;;;;;Cadastrado;29/05/2028;PA2018-1635;https://pergamum.anac.gov.br/arquivos/PA2018-1635.pdf
SBIH;PA0010;Itaituba;ITAITUBA;Pará;Itaituba;Pará;-4.2422222;-56.000833;"04°14'32.0S""";"056°00'03.0W""";33;VFR / IFR Não Precisão;VFR / IFR Não Precisão;mai/23;17,000,000;30,00;26/F/B/X/T;Asfalto;;;;;;Cadastrado;10/07/2030;PA2020-1747;https://pergamum.anac.gov.br/arquivos/PA2020-1747.pdf
SBEG;AM0001;Eduardo Gomes;MANAUS;Amazonas;Manaus;Amazonas;-3.0411111;-60.050556;"03°02'28.0S""";"060°03'02.0W""";80;VFR / IFR - CAT I;VFR / IFR - CAT I;nov/29;27,000,000;45,00;71/F/C/X/T;Asfalto;;;;;;Cadastrado;17/07/2022;PA2012-1425;https://pergamum.anac.gov.br/arquivos/PA2012-1425.pdf
SBCT;PR0001;Aeroporto Internacional Afonso Pena;SÃO JOSÉ DOS PINHAIS;Paraná;Curitiba;Paraná;-25.531667;-49.176111;"25°31'54.0S""";"049°10'34.0W""";911;VFR / IFR - CAT II;VFR / IFR - CAT II;nov/29;17,980,000;45,00;33/F/A/X/T;Asfalto;15/33;22,180,000;45,00;42/F/A/X/T;Asfalto;Cadastrado;20/11/2013;PA2013-3007;https://pergamum.anac.gov.br/arquivos/PA2013-3007.pdf
SBIL;BA0004;Bahia - Jorge Amado;ILHÉUS;Bahia;Ilhéus;Bahia;-14.815;-39.033333;"14°48'54.0S""";"039°02'00.0W""";4;VFR;VFR;nov/29;15,770,000;45,00;50/F/B/X/T;Asfalto;;;;;;Cadastrado;23/09/2030;PA2020-2422;https://pergamum.anac.gov.br/arquivos/PA2020-2422.pdf
SBMQ;AP0001;Alberto Alcolumbre Internacional;MACAPÁ;Amapá;Macapá;Amapá;0.0508333;-51.070278;"00°03'03.0N""";"051°04'13.0W""";17;VFR / IFR Não Precisão;VFR / IFR Não Precisão;ago/26;21,000,000;45,00;48/F/C/X/T;Asfalto;;;;;;Cadastrado;13/11/2027;PA2017-3680;https://pergamum.anac.gov.br/arquivos/PA2017-3680.pdf
SBVC;BA0005;Glauber de Andrade Rocha;VITÓRIA DA CONQUISTA;Bahia;Vitória da Conquista;Bahia;-14.907778;-40.914722;"14°54'28.0S""";"040°54'53.0W""";896;VFR / IFR Não Precisão;VFR / IFR Não Precisão;15/33;21,000,000;45,00;44/F/B/X/T;Asfalto;;;;;;Cadastrado;26/12/2027;PA2019-2438;https://pergamum.anac.gov.br/arquivos/PA2019-2438.pdf
SBLE;BA0006;Horácio de Matos;LENÇÓIS;Bahia;Lençóis;Bahia;-12.482222;-41.276944;"12°28'56.0S""";"041°16'37.0W""";506;VFR;VFR;14/32;20,820,000;30,00;44/R/A/W/T;Asfalto;;;;;;Cadastrado;29/10/2025;PA2015-2870;https://pergamum.anac.gov.br/arquivos/PA2015-2870.pdf
SNGI;BA0009;Aeródromo de Guanambi;GUANAMBI;Bahia;Guanambi;Bahia;-14.208056;-42.746111;"14°12'29.0S""";"042°44'46.0W""";553;VFR;VFR;14/32;17,000,000;30,00;18/F/A/Y/T;Asfalto;;;;;;Cadastrado;08/07/2025;PA2015-1765;https://pergamum.anac.gov.br/arquivos/PA2015-1765.pdf
SBFZ;CE0001;Pinto Martins;FORTALEZA;Ceará;Fortaleza;Ceará;-3.7758333;-38.532222;"03°46'33.0S""";"038°31'56.0W""";25;VFR / IFR - CAT I;VFR / IFR - CAT I;13/31;25,450,000;45,00;66/F/A/X/T;Asfalto;;;;;;Cadastrado;24/10/2028;PA2018-3262;https://pergamum.anac.gov.br/arquivos/PA2018-3262.pdf
SNLN;ES0002;Municipal de Linhares;LINHARES;Espírito Santo;Linhares;Espírito Santo;-19.355278;-40.069444;"19°21'19.0S""";"040°04'10.0W""";40;VFR;VFR;jun/24;13,500,000;30,00;14/F/A/Y/T;Asfalto;;;;;;Cadastrado;30/07/2025;PA2015-2012;https://pergamum.anac.gov.br/arquivos/PA2015-2012.pdf
SNMH;GO0018;Pirenópolis;PIRENÓPOLIS;Goiás;Pirenópolis;Goiás;-15.848056;-48.980278;"15°50'53.0S""";"048°58'49.0W""";785;VFR;;15/33;12,950,000;30,00;18/F/A/Y/T;Asfalto;;;;;;Cadastrado;18/05/2021;PA2011-0969;https://pergamum.anac.gov.br/arquivos/PA2011-0969.pdf
SNYU;MG0014;Aeródromo de Iturama;ITURAMA;Minas Gerais;Iturama;Minas Gerais;-19.717222;-50.220278;"19°43'02.0S""";"050°13'13.0W""";475;VFR;VFR;18/36;15,500,000;30,00;10/F/A/Y/T;Asfalto;;;;;;Cadastrado;23/09/2030;PA2020-2411;https://pergamum.anac.gov.br/arquivos/PA2020-2411.pdf
SNDT;MG0030;Juscelino Kubitscheck;DIAMANTINA;Minas Gerais;Diamantina;Minas Gerais;-18.232222;-43.650278;"18°13'56.0S""";"043°39'01.0W""";1356;VFR;VFR;mar/21;16,100,000;30,00;14/F/B/X/T;Asfalto;;;;;;Cadastrado;30/07/2028;PA2018-2328;https://pergamum.anac.gov.br/arquivos/PA2018-2328.pdf
SBHT;PA0003;Altamira;ALTAMIRA;Pará;Altamira;Pará;-3.2508333;-52.252222;"03°15'03.0S""";"052°15'08.0W""";112;VFR / IFR Não Precisão;VFR / IFR Não Precisão;jul/25;20,030,000;30,00;36/F/A/X/T;Asfalto;;;;;;Cadastrado;25/08/2027;PA2017-2887;https://pergamum.anac.gov.br/arquivos/PA2017-2887.pdf
SBFN;PE0003;Fernando de Noronha;FERNANDO DE NORONHA;Pernambuco;Fernando de Noronha;Pernambuco;-3.8547222;-32.428333;"03°51'17.0S""";"032°25'42.0W""";58;VFR / IFR Não Precisão;VFR / IFR Não Precisão;dez/30;18,450,000;45,00;30/F/C/X/U;Asfalto;;;;;;Cadastrado;24/07/2028;PA2018-2251;https://pergamum.anac.gov.br/arquivos/PA2018-2251.pdf
SBTE;PI0001;Aeroporto de Teresina / Senador Petrônio Portella;TERESINA;Piauí;Teresina;Piauí;-5.0605556;-42.824444;"05°03'38.0S""";"042°49'28.0W""";67;VFR / IFR Não Precisão;VFR / IFR Não Precisão;fev/20;22,000,000;45,00;46/F/A/X/T;Asfalto;;;;;;Cadastrado;05/03/2025;PA2015-0532;https://pergamum.anac.gov.br/arquivos/PA2015-0532.pdf
SSUM;PR0019;Orlando de Carvalho;UMUARAMA;Paraná;Umuarama;Paraná;-23.799167;-53.313889;"23°47'57.0S""";"053°18'50.0W""";473;;;abr/22;14,300,000;30,00;19/F/C/Y/T;Asfalto;;;;;;Cadastrado;05/09/2028;PA2018-2722;https://pergamum.anac.gov.br/arquivos/PA2018-2722.pdf
SSTE;RS0011;Torres;TORRES;Rio Grande do Sul;Torres;Rio Grande do Sul;-29.415;-49.81;"29°24'54.0S""";"049°48'36.0W""";9;VFR;VFR;jun/24;15,070,000;30,00;32/F/B/X/T;Asfalto;;;;;;Cadastrado;26/10/2030;PA2020-2977;https://pergamum.anac.gov.br/arquivos/PA2020-2977.pdf
SBLJ;SC0007;Lages;LAGES;Santa Catarina;Lages;Santa Catarina;-27.782222;-50.281667;"27°46'56.0S""";"050°16'54.0W""";934;VFR / IFR Não Precisão;VFR / IFR Não Precisão;17/35;15,320,000;30,00;17/F/C/Y/U;Asfalto;;;;;;Cadastrado;23/06/2026;PA2016-1562;https://pergamum.anac.gov.br/arquivos/PA2016-1562.pdf
SDSC;SP0029;Mário Pereira Lopes;SÃO CARLOS;São Paulo;São Carlos;São Paulo;-21.876389;-47.903333;"21°52'35.0S""";"047°54'12.0W""";807;VFR;VFR;fev/20;16,200,000;45,00;47/F/A/X/T;Asfalto;;;;;;Cadastrado;27/08/2028;PA2018-2564;https://pergamum.anac.gov.br/arquivos/PA2018-2564.pdf
SBGO;GO0001;Santa Genoveva;GOIÂNIA;Goiás;Goiânia;Goiás;-16.6325;-49.221111;"16°37'57.0S""";"049°13'16.0W""";747;;;14/32;22,860,000;45,00;67/F/B/X/T;Asfalto;;;;;;Cadastrado;18/10/2027;PA2017-3371;https://pergamum.anac.gov.br/arquivos/PA2017-3371.pdf
SSKW;RO0004;Cacoal;CACOAL;Rondônia;Cacoal;Rondônia;-11.495556;-61.450833;"11°29'44.0S""";"061°27'03.0W""";249;VFR;VFR;16/34;21,000,000;45,00;31/F/A/X/T;Asfalto;;;;;;Cadastrado;23/06/2030;PA2020-1567;https://pergamum.anac.gov.br/arquivos/PA2020-1567.pdf
